scenario,year,population,age_0_14,age_15_64,age_65_plus,old_age_dependency,total_dependency,share_65_plus,median_age,births,net_international_migration
NIM 574 mil; fecundidade Census,2070,350832176.5845996,48434809.879450984,206700097.3772355,95697269.32791315,46.29764114395264,69.73004901120953,27.277221336862393,47.152505389439874,3064922.0077751866,574000.0
NIM 574 mil; fecundidade Census,2071,350484963.5644785,48265652.88100948,205782834.49464172,96436476.18882729,46.86322667566247,70.31788119023338,27.515153633997745,47.24849926090624,3048692.5513507817,574000.0
NIM 574 mil; fecundidade Census,2072,350102271.7409756,48089783.43175643,204803879.56158036,97208608.74763872,47.46424186677092,70.9451366304352,27.765774916067624,47.34003835660157,3032053.3292924804,574000.0
NIM 574 mil; fecundidade Census,2073,349683204.52922004,47905874.117073774,203812737.28285095,97964593.12929529,48.06598176115961,71.57082976807789,28.015241184141352,47.4436442087782,3015157.3760640956,574000.0
NIM 574 mil; fecundidade Census,2074,349227332.9821383,47713322.17702176,202928547.2479498,98585463.55716683,48.58136762626572,72.09374320086779,28.22959552315715,47.55436428338704,2998168.1973907566,574000.0
NIM 574 mil; fecundidade Census,2075,348733809.4234135,47512023.72809981,202094655.8187516,99127129.87656206,49.04985214723547,72.55963944745528,28.424869398368923,47.66403326481582,2981223.0139220995,574000.0
NIM 574 mil; fecundidade Census,2076,348202346.40835994,47302310.991687134,201325188.89215016,99574846.52452263,49.459705997278284,72.9551817755362,28.596833867323976,47.77244966256946,2964466.616421915,574000.0
NIM 574 mil; fecundidade Census,2077,347632813.16774035,47084782.545567155,200589009.75255966,99959020.86961344,49.83275055443953,73.30601192785649,28.75419611824188,47.87938336904443,2948021.577859591,574000.0
NIM 574 mil; fecundidade Census,2078,347025452.60604596,46860558.79216943,199841570.98341152,100323322.83046497,50.201428229761376,73.65028252047311,28.909499887420395,47.984661776527425,2931993.3368326467,574000.0
NIM 574 mil; fecundidade Census,2079,346381026.33110386,46631005.07675598,199078248.23411176,100671773.02023612,50.568946589206604,73.99240218537949,29.063882074188577,48.08796506975002,2916469.5221692766,574000.0
NIM 574 mil; fecundidade Census,2080,345700349.3992232,46397674.98163449,198278574.85817972,101024099.55940896,50.9505878946665,74.35083424746622,29.223025008500606,48.18898836116331,2901517.134555338,574000.0
NIM 574 mil; fecundidade Census,2081,344985435.8336358,46162229.133205086,197478692.6304515,101344514.06997927,51.31921460490356,74.69501708684018,29.376461596150158,48.28731268364552,2887167.21254193,574000.0
NIM 574 mil; fecundidade Census,2082,344238809.04380035,45926255.53700487,196732747.33428866,101579806.17250682,51.633399903627755,74.97788939981055,29.508528237901842,48.38267176502778,2873455.3017381,574000.0
